Id_venda,Data,Mes_Ano,Marca,Modelo,ValorUnitario,QtdeProduto,ValorTotal,Pagamento_forma
1,2025-12-01,2025-12,LG,K41S,500,2,1000,Pix
2,2025-12-01,2025-12,Redmi,Redmi 15,1250,2,2500,Cartão
3,2025-12-01,2025-12,Samsung,A06,750,1,750,Cartão
4,2025-12-02,2025-12,Redmi,Note 14,1250,1,1250,Cartão
5,2025-12-02,2025-12,Poco,X7 Pro,2300,1,2300,Cartão
6,2025-12-03,2025-12,Samsung,A07,750,1,750,Cartão
7,2025-12-04,2025-12,Redmi,Redmi 15,1250,1,1250,Pix
8,2025-12-05,2025-12,Realme,C75,1250,1,1250,Cartão
9,2025-12-05,2025-12,Samsung,A15,800,1,800,Pix
10,2025-12-05,2025-12,Samsung,A07,750,1,750,Cartão
11,2025-12-08,2025-12,Samsung,A06,650,2,1300,Cartão
12,2025-12-09,2025-12,Samsung,A10S,400,1,400,Pix
13,2025-12-12,2025-12,Motorola,G06,800,1,800,Cartão
14,2025-12-13,2025-12,Iphone,17 Pro Max,10000,1,10000,Cartão
15,2025-12-17,2025-12,Redmi,Redmi 15C,1100,1,1100,Cartão
16,2025-12-17,2025-12,Samsung,A07,750,1,750,Pix
17,2025-12-18,2025-12,Iphone,15,4600,1,4600,Cartão
18,2025-12-18,2025-12,Samsung,A07,750,1,750,Cartão
19,2025-12-18,2025-12,Realme,C75,1250,1,1250,Cartão
20,2025-12-19,2025-12,Motorola,G8Play,500,1,500,Cartão
21,2025-12-19,2025-12,Iphone,12 Pro Max,2800,1,2800,Cartão
22,2025-12-20,2025-12,Samsung,A07,750,1,750,Pix
23,2025-12-21,2025-12,Samsung,A07,750,1,750,Pix
24,2025-12-22,2025-12,Realme,Note 60X,750,1,750,Cartão
25,2025-12-22,2025-12,Poco,C85,1000,1,1000,Cartão
26,2025-12-23,2025-12,Samsung,A07,750,1,750,Pix
27,2025-12-24,2025-12,Redmi,A5,650,1,650,Cartão
28,2025-12-24,2025-12,Redmi,Note 14,1250,1,1250,Cartão
29,2025-12-24,2025-12,Samsung,A07,750,1,750,Pix
30,2025-12-26,2025-12,Samsung,A07,750,1,750,Cartão
31,2025-12-26,2025-12,Samsung,S25 FE,3000,1,3000,Cartão
32,2025-12-26,2025-12,Motorola,G06,800,1,800,Cartão
33,2025-12-29,2025-12,Samsung,A56,2300,1,2300,Cartão
34,2025-12-29,2025-12,Redmi,15C,1100,1,1100,Pix
35,2025-12-29,2025-12,Redmi,Note 12,700,1,700,Cartão
36,2025-12-29,2025-12,Motorola,G06,800,1,800,Cartão
37,2025-12-31,2025-12,Positivo,P28,195,1,195,Pix
38,2025-12-31,2025-12,Samsung,S25 ,2500,1,2500,Cartão
39,2025-12-31,2025-12,Iphone,16E,3200,1,3200,Cartão
40,2025-12-31,2025-12,Samsung,A56,2300,1,2300,Cartão
41,2025-12-31,2025-12,Realme,Note 60X,750,1,750,Cartão
42,2025-12-31,2025-12,Poco,C71,650,1,650,Cartão
43,2026-01-03,2026-01,Realme,C75,1250,1,1250,Cartão
44,2026-01-05,2026-01,Samsung,S25 ,2500,1,2500,Cartão
45,2026-01-05,2026-01,Motorola,G06,800,1,800,Cartão
46,2026-01-07,2026-01,Motorola,G06,800,2,1600,Cartão
47,2026-01-07,2026-01,Samsung,A13,500,1,500,pix
48,2026-01-08,2026-01,Iphone,11,1300,1,1300,Cartão
49,2026-01-08,2026-01,Iphone,11,1450,1,1450,Cartão
50,2026-01-08,2026-01,Realme,C75,1250,1,1250,Cartão
51,2026-01-08,2026-01,Poco,C85,1000,1,1000,Cartão
52,2026-01-09,2026-01,Poco,C71,900,1,900,Cartão
53,2026-01-09,2026-01,Iphone,16 pro max,7000,1,7000,Cartão
54,2026-01-12,2026-01,Poco,X6,900,1,900,Cartão
55,2026-01-12,2026-01,Realme,Note 60X,750,1,750,Cartão
56,2026-01-12,2026-01,Iphone,13,1250,1,1250,Cartão
57,2026-01-13,2026-01,Realme,C75,1250,1,1250,Cartão
58,2026-01-13,2026-01,Realme,Note 60X,750,1,750,Pix
59,2026-01-14,2026-01,Redmi,Note 14,1250,1,1250,Cartão
60,2026-01-14,2026-01,Realme,C75,1250,1,1250,Cartão
61,2026-01-15,2026-01,Realme,C75,1250,1,1250,Cartão
62,2026-01-16,2026-01,Iphone,XR,850,1,850,Cartão
63,2026-01-21,2026-01,Iphone,13,2300,1,2300,Cartão
64,2026-01-21,2026-01,Redmi,Note 14,1250,1,1250,Cartão
65,2026-01-21,2026-01,Redmi,Note 14S,1400,1,1400,Cartão
66,2026-01-22,2026-01,Iphone,11,1400,1,1400,Cartão
67,2026-01-24,2026-01,Samsung,S25 Ultra,5500,1,5500,Cartão
