Modelo,ValorTotal,QtdeProduto,categoria
A07,13500,18,🆗Estoque
Note 60X,11250,15,🆗Estoque
Redmi 15,16150,13,🆗Estoque
Note 14,12500,10,🆗Estoque
G06,8000,10,🆗Estoque
C75,11200,9,🆗Estoque
Note 14S,9800,7,🆗Estoque
15C,6500,6,💱Giro
C85,6200,6,💱Giro
16E,19200,6,🆗Estoque
C71,4250,5,💱Giro
15,19400,5,🆗Estoque
11,6850,5,💱Giro
13,9250,4,💲Lucro
X7 Pro,9200,4,💲Lucro
13C,2000,3,✅normal
A15,2500,3,✅normal
A06,2050,3,✅normal
A5,1950,3,✅normal
C85  ,3300,3,✅normal
14,10900,3,💲Lucro
Note 12,2300,3,✅normal
Note 14 ,3750,3,✅normal
A5 ,1400,2,✅normal
A56,4600,2,✅normal
C85 Pro,2850,2,✅normal
K41S,1000,2,✅normal
Note 15,3100,2,✅normal
S25 ,5000,2,✅normal
A55,1500,1,✅normal
A13,500,1,✅normal
A10S,400,1,✅normal
A03 Core,500,1,✅normal
16 pro max,7000,1,✅normal
14 Pro Max,4000,1,✅normal
17 Pro Max,10000,1,💲Lucro
12 Pro Max,2800,1,✅normal
Note 12 5G,900,1,✅normal
Note 12S,800,1,✅normal
Iphone 11,1200,1,✅normal
Hot 50,900,1,✅normal
E32,500,1,✅normal
G8Play,500,1,✅normal
Note 14 Pro,1550,1,✅normal
Note 70,970,1,✅normal
Redmi 15C,1100,1,✅normal
P28,195,1,✅normal
S25 FE,3000,1,✅normal
S24 Ultra,4300,1,✅normal
S25 Ultra,5500,1,✅normal
S25FE,4500,1,✅normal
X6,900,1,✅normal
XR,850,1,✅normal
