Id_venda;Data;Marca;Modelo;ValorUnitario;QtdeProduto;Pagamento_forma;;;
1;01/12/2025;LG;K41S;500;2;Pix;;;
2;01/12/2025;Redmi;Redmi 15;1250;2;Cartão;;;
3;01/12/2025;Samsung;A06;750;1;Cartão;;;
4;02/12/2025;Redmi;Note 14;1250;1;Cartão;;;
5;02/12/2025;Poco;X7 Pro;2300;1;Cartão;;;
6;03/12/2025;Samsung;A07;750;1;Cartão;;;
7;04/12/2025;Redmi;Redmi 15;1250;1;Pix;;;
8;05/12/2025;Realme;C75;1250;1;Cartão;;;
9;05/12/2025;Samsung;A15;800;1;Pix;;;
10;05/12/2025;Samsung;A07;750;1;Cartão;;;
11;08/12/2025;Samsung;A06;650;2;Cartão;;;
12;09/12/2025;Samsung;A10S;400;1;Pix;;;
13;12/12/2025;Motorola;G06;800;1;Cartão;;;
14;13/12/2025;Iphone;17 Pro Max;10000;1;Cartão;;;
15;17/12/2025;Redmi;Redmi 15C;1100;1;Cartão;;;
16;17/12/2025;Samsung;A07;750;1;Pix;;;
17;18/12/2025;Iphone;15;4600;1;Cartão;;;
18;18/12/2025;Samsung;A07;750;1;Cartão;;;
19;18/12/2025;Realme;C75;1250;1;Cartão;;;
20;19/12/2025;Motorola;G8Play;500;1;Cartão;;;
21;19/12/2025;Iphone;12 Pro Max;2800;1;Cartão;;;
22;20/12/2025;Samsung;A07;750;1;Pix;;;
23;21/12/2025;Samsung;A07;750;1;Pix;;;
24;22/12/2025;Realme;Note 60X;750;1;Cartão;;;
25;22/12/2025;Poco;C85;1000;1;Cartão;;;
26;23/12/2025;Samsung;A07;750;1;Pix;;;
27;24/12/2025;Redmi;A5;650;1;Cartão;;;
28;24/12/2025;Redmi;Note 14;1250;1;Cartão;;;
29;24/12/2025;Samsung;A07;750;1;Pix;;;
30;26/12/2025;Samsung;A07;750;1;Cartão;;;
31;26/12/2025;Samsung;S25 FE;3000;1;Cartão;;;
32;26/12/2025;Motorola;G06;800;1;Cartão;;;
33;29/12/2025;Samsung;A56;2300;1;Cartão;;;
34;29/12/2025;Redmi;15C;1100;1;Pix;;;
35;29/12/2025;Redmi;Note 12;700;1;Cartão;;;
36;29/12/2025;Motorola;G06;800;1;Cartão;;;
37;31/12/2025;Positivo;P28;195;1;Pix;;;
38;31/12/2025;Samsung;S25 ;2500;1;Cartão;;;
39;31/12/2025;Iphone;16E;3200;1;Cartão;;;
40;31/12/2025;Samsung;A56;2300;1;Cartão;;;
41;31/12/2025;Realme;Note 60X;750;1;Cartão;;;
42;31/12/2025;Poco;C71;650;1;Cartão;;;
43;03/01/2026;Realme;C75;1250;1;Cartão;;;
44;05/01/2026;Samsung;S25 ;2500;1;Cartão;;;
45;05/01/2026;Motorola;G06;800;1;Cartão;;;
46;07/01/2026;Motorola;G06;800;2;Cartão;;;
47;07/01/2026;Samsung;A13;500;1;pix;;;
48;08/01/2026;Iphone;11;1300;1;Cartão;;;
49;08/01/2026;Iphone;11;1450;1;Cartão;;;
50;08/01/2026;Realme;C75;1250;1;Cartão;;;
51;08/01/2026;Poco;C85;1000;1;Cartão;;;
52;09/01/2026;Poco;C71;900;1;Cartão;;;
53;09/01/2026;Iphone;16 pro max;7000;1;Cartão;;;
54;12/01/2026;Poco;X6;900;1;Cartão;;;
55;12/01/2026;Realme;Note 60X;750;1;Cartão;;;
56;12/01/2026;Iphone;13;1250;1;Cartão;;;
57;13/01/2026;Realme;C75;1250;1;Cartão;;;
58;13/01/2026;Realme;Note 60X;750;1;Pix;;;
